DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-Mar-2026,EQ,"2,246.30","2,269.00","2,201.10","2,270.20","2,209.20","2,207.40","2,225.52","2,985.70","2,115.00",1089010,"2,42,36,08,122.60",69114
25-Mar-2026,EQ,"2,225.10","2,289.70","2,222.00","2,217.30","2,271.00","2,270.20","2,264.27","2,985.70","2,115.00",1270855,"2,87,75,54,227.60",130505
24-Mar-2026,EQ,"2,184.00","2,224.50","2,153.30","2,121.30","2,220.50","2,217.30","2,196.94","2,985.70","2,115.00",1561016,"3,42,94,55,492.80",120036
23-Mar-2026,EQ,"2,180.00","2,180.00","2,115.00","2,195.40","2,120.80","2,121.30","2,138.30","2,985.70","2,115.00",978398,"2,09,21,08,841.10",84243
20-Mar-2026,EQ,"2,210.90","2,224.50","2,185.00","2,186.00","2,204.80","2,195.40","2,201.87","2,985.70","2,162.60",875920,"1,92,86,64,416.50",63193
19-Mar-2026,EQ,"2,220.00","2,239.00","2,180.60","2,262.10","2,195.50","2,186.00","2,196.51","2,985.70","2,162.60",889334,"1,95,34,34,541.30",76804
18-Mar-2026,EQ,"2,235.10","2,270.40","2,228.60","2,238.20","2,260.00","2,262.10","2,250.29","2,985.70","2,162.60",844912,"1,90,12,98,329.50",71339
17-Mar-2026,EQ,"2,217.70","2,261.50","2,217.20","2,217.70","2,240.50","2,238.20","2,236.47","2,985.70","2,162.60",875461,"1,95,79,41,898.00",73022
16-Mar-2026,EQ,"2,185.40","2,227.80","2,175.10","2,196.80","2,215.00","2,217.70","2,206.49","2,985.70","2,162.60",1111587,"2,45,27,02,443.00",97423
13-Mar-2026,EQ,"2,204.70","2,219.70","2,190.00","2,221.20","2,194.10","2,196.80","2,201.90","2,985.70","2,162.60",949233,"2,09,01,14,573.30",87307
12-Mar-2026,EQ,"2,208.00","2,249.90","2,201.00","2,232.00","2,221.40","2,221.20","2,225.28","2,985.70","2,162.60",1384055,"3,07,99,04,845.50",96995
11-Mar-2026,EQ,"2,290.00","2,302.00","2,226.00","2,280.40","2,232.90","2,232.00","2,260.69","2,985.70","2,162.60",687786,"1,55,48,74,263.90",62520
